,current_delta,soc_coulomb,soc_kalman
194,1.6541,[-476.0582903],[-317.57700688]
195,1.8721,[-480.10878769],[-321.62750428]
196,2.0978,[-484.69311523],[-326.21183181]
197,0.89478,[-489.83012836],[-331.34884494]
198,1.3038,[-492.02123172],[-333.5399483]
199,-0.078976,[-495.21392774],[-324.07525488]
200,1.4977,[-495.02053431],[-323.88186145]
201,2.1259,[-498.68804531],[-327.54937245]
202,0.089321,[-503.89386866],[-332.7551958]
203,1.1053,[-504.11259454],[-332.97392168]
204,1.3141,[-506.81921129],[-335.68053843]
205,3.1926,[-510.03712957],[-338.89845671]
206,0.52137,[-517.85504746],[-346.71637459]
207,1.3521,[-519.13175855],[-347.99308569]
208,1.3591,[-522.44272979],[-351.30405693]
209,1.3661,[-525.77084236],[-341.73095979]
210,1.7966,[-529.11609627],[-345.0762137]
211,1.8134,[-533.51554226],[-349.47565969]
212,2.4758,[-537.95612746],[-353.91624488]
213,0.995,[-544.01877267],[-359.9788901]
214,1.8602,[-546.45529096],[-362.41540839]
215,-2.6906,[-551.01047822],[-366.97059565]
216,-0.067612,[-544.42183891],[-360.38195634]
217,1.5503,[-544.25627321],[-360.21639063]
218,1.3521,[-548.05258909],[-364.01270652]
219,0.10446,[-551.36356033],[-354.43178811]
220,2.1829,[-551.61935802],[-354.6875858]
221,0.73539,[-556.96476081],[-360.03298859]
222,0.31463,[-558.76555597],[-361.83378376]
223,1.5617,[-559.53601],[-362.60423778]
224,-0.49752,[-563.36024177],[-366.42846955]
225,2.1685,[-562.14193365],[-365.21016143]
226,0.7278,[-567.45207427],[-370.52030205]
227,1.1428,[-569.23428332],[-372.30251111]
228,0.51918,[-572.03272865],[-375.10095644]
229,1.3486,[-573.30407696],[-363.64395819]
230,-0.35495,[-576.60647753],[-366.94635876]
231,1.124,[-575.73728942],[-366.07717065]
232,1.9596,[-578.48969803],[-368.82957926]
233,1.1428,[-583.28829224],[-373.62817347]
234,1.5655,[-586.08673757],[-376.4266188]
235,1.9998,[-589.92027464],[-380.26015587]
236,1.5964,[-594.81730909],[-385.15719032]
237,-0.93064,[-598.72651291],[-389.06639414]
238,1.3556,[-596.44759695],[-386.78747818]
239,-0.92625,[-599.76713885],[-377.33759725]
240,2.1543,[-597.49897296],[-375.06943136]
241,-0.21363,[-602.77434115],[-380.34479955]
242,2.1543,[-602.25121211],[-379.8216705]
243,0.51263,[-607.5265803],[-385.0970387]
244,-0.07259,[-608.78188922],[-386.35234762]
